Query #,Binary euclidean - precision,Binary cosine - precision,Binary euclidean - recall,Binary cosine - recall,Binary euclidean - F-measure,Binary cosine - F-measure,TF euclidean - precision,TF cosine - precision,TF euclidean - recall,TF cosine - recall,TF euclidean - F-measure,TF cosine - F-measure,TF-IDF euclidean - precision,TF-IDF cosine - precision,TF-IDF euclidean - recall,TF-IDF cosine - recall,TF-IDF euclidean - F-measure,TF-IDF cosine - F-measure
76,0.0,0.13333333333333333,0.0,0.25,0,0.1739130434782609,0.06666666666666667,0.0,0.125,0.0,0.08695652173913045,0,0.2,0.26666666666666666,0.375,0.5,0.26086956521739135,0.3478260869565218
77,0.06666666666666667,0.26666666666666666,0.14285714285714285,0.5714285714285714,0.09090909090909091,0.36363636363636365,0.13333333333333333,0.13333333333333333,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4545454545454545,0.4545454545454545
78,0.0,0.13333333333333333,0.0,0.5,0,0.2105263157894737,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.13333333333333333,0.5,0.5,0.2105263157894737,0.2105263157894737
79,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.13333333333333333,0.2,0.3333333333333333,0.5,0.19047619047619044,0.28571428571428575,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044
80,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.13333333333333333,0.4,0.4,0.2,0.2
81,0.0,0.13333333333333333,0.0,0.6666666666666666,0,0.2222222222222222,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222
82,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.0,0.0,0.0,0.0,0,0,0.2,0.2,0.5,0.5,0.28571428571428575,0.28571428571428575
83,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.0,0.2,0.0,0.1,0,0.13333333333333333,0.13333333333333333,0.4,0.4,0.2,0.2
84,0.0,0.0,0.0,0.0,0,0,0.2,0.13333333333333333,0.25,0.16666666666666666,0.22222222222222224,0.14814814814814814,0.06666666666666667,0.06666666666666667,0.08333333333333333,0.08333333333333333,0.07407407407407407,0.07407407407407407
85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
86,0.0,0.13333333333333333,0.0,0.6666666666666666,0,0.2222222222222222,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
87,0.0,0.06666666666666667,0.0,0.1111111111111111,0,0.08333333333333334,0.06666666666666667,0.0,0.1111111111111111,0.0,0.08333333333333334,0,0.0,0.0,0.0,0.0,0,0
88,0.0,0.4,0.0,0.8571428571428571,0,0.5454545454545455,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4545454545454545,0.4545454545454545,0.4666666666666667,0.4666666666666667,1.0,1.0,0.6363636363636364,0.6363636363636364
89,0.0,0.2,0.0,0.42857142857142855,0,0.27272727272727276,0.2,0.26666666666666666,0.42857142857142855,0.5714285714285714,0.27272727272727276,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4545454545454545,0.4545454545454545
90,0.0,0.13333333333333333,0.0,0.14285714285714285,0,0.1379310344827586,0.2,0.2,0.21428571428571427,0.21428571428571427,0.20689655172413796,0.20689655172413796,0.3333333333333333,0.4,0.35714285714285715,0.42857142857142855,0.3448275862068965,0.4137931034482759
91,0.0,0.2,0.0,0.3,0,0.24,0.13333333333333333,0.2,0.2,0.3,0.16,0.24,0.13333333333333333,0.13333333333333333,0.2,0.2,0.16,0.16
92,0.0,0.13333333333333333,0.0,0.14285714285714285,0,0.1379310344827586,0.0,0.06666666666666667,0.0,0.07142857142857142,0,0.0689655172413793,0.4666666666666667,0.5333333333333333,0.5,0.5714285714285714,0.4827586206896552,0.5517241379310344
